x,y,z
0.000000,0.000000,1.530991
-0.074375,0.227998,1.607882
-0.185218,0.472794,1.609786
-0.312928,0.713066,1.608536
-0.437197,0.932205,1.606314
-0.577145,1.172510,1.603862
-0.711262,1.398046,1.601884
-0.855932,1.636184,1.600228
-0.988352,1.849235,1.599104
-1.128484,2.069777,1.598241
-1.276241,2.297262,1.597621
-1.431548,2.531298,1.597220
-1.594349,2.771635,1.597015
-1.764662,3.018108,1.596983
-1.912387,3.228116,1.597070
-2.065486,3.442292,1.597236
-2.224077,3.660586,1.597454
-2.388297,3.882899,1.597712
-2.558332,4.109085,1.597969
-2.734249,4.338794,1.598080
-2.915620,4.571332,1.597979
-3.101665,4.805896,1.597729
-3.291712,5.041811,1.597389
-3.485223,5.278510,1.596994
-3.681633,5.515444,1.596592
-3.880444,5.752139,1.596228
-4.081309,5.988236,1.595921
-4.283952,6.223435,1.595684
-4.488142,6.457492,1.595519
-4.693686,6.690226,1.595416
-4.900333,6.921666,1.595358
-5.107751,7.152123,1.595337
-5.315641,7.381884,1.595349
-5.523790,7.611122,1.595386
-5.732021,7.840007,1.595445
-5.940204,8.068705,1.595515
-6.148244,8.297279,1.595591
-6.356065,8.525752,1.595669
-6.563627,8.754153,1.595749
-6.770917,8.982508,1.595832
-6.977924,9.210817,1.595921
-7.184624,9.439055,1.596016
-7.391007,9.667199,1.596114
-7.597067,9.895226,1.596210
-7.802788,10.123097,1.596303
-8.008194,10.350817,1.596391
-8.213313,10.578402,1.596474
-8.418140,10.805821,1.596558
-8.622685,11.033056,1.596642
-8.826931,11.260072,1.596731
-9.030885,11.486859,1.596820
-9.234550,11.713405,1.596902
-9.437880,11.939640,1.596978
-9.640859,12.165532,1.597048
-9.843527,12.391097,1.597111
-10.045928,12.616366,1.597167
-10.248106,12.841388,1.597213
-10.450072,13.066171,1.597251
-10.651835,13.290713,1.597285
-10.853427,13.515056,1.597319
-11.054863,13.739223,1.597358
-11.256173,13.963249,1.597403
-11.457404,14.187190,1.597455
-11.658598,14.411107,1.597506
-11.859760,14.635015,1.597554
-12.060865,14.858897,1.597598
-12.261911,15.082753,1.597642
-12.462938,15.306641,1.597688
-12.663957,15.530601,1.597734
-12.864936,15.754600,1.597781
-13.065909,15.978507,1.597823
-13.267035,16.201993,1.597861
-13.468483,16.424766,1.597899
