x,y
0.000000,0.000000
-0.085055,0.243989
-0.193317,0.473956
-0.323036,0.714840
-0.450288,0.933345
-0.594415,1.172207
-0.732834,1.396081
-0.882001,1.632358
-1.018188,1.843736
-1.161979,2.062512
-1.313241,2.288138
-1.471904,2.520190
-1.638002,2.758443
-1.811604,3.002768
-1.962079,3.210945
-2.117925,3.423250
-2.279254,3.639646
-2.446238,3.860086
-2.619085,4.084454
-2.797864,4.312418
-2.982164,4.543308
-3.171210,4.776320
-3.364303,5.010766
-3.560844,5.246044
-3.760245,5.481600
-3.962020,5.716976
-4.165798,5.951806
-4.371271,6.185782
-4.578197,6.418644
-4.786408,6.650189
-4.995767,6.880268
-5.206100,7.108882
-5.417125,7.336304
-5.628561,7.562869
-5.840210,7.788806
-6.051919,8.014314
-6.263554,8.239570
-6.475024,8.464679
-6.686267,8.689701
-6.897229,8.914677
-7.107858,9.139609
-7.318139,9.364498
-7.528074,9.589356
-7.737639,9.814152
-7.946810,10.038841
-8.155621,10.263438
-8.364101,10.487958
-8.572243,10.712375
-8.780031,10.936644
-8.987458,11.160738
-9.194513,11.384633
-9.401193,11.608312
-9.607517,11.831778
-9.813499,12.055023
-10.019146,12.278034
-10.224464,12.500810
-10.429487,12.723378
-10.634254,12.945763
-10.838785,13.167977
-11.043102,13.390038
-11.247234,13.611974
-11.451199,13.833808
-11.655003,14.055553
-11.858656,14.277235
-12.062190,14.498896
-12.265631,14.720549
-12.468982,14.942213
-12.672254,15.163918
-12.875440,15.385676
-13.078549,15.607506
-13.281602,15.829440
-13.484612,16.051472
-13.687647,16.273419
-13.890892,16.494879
-14.094518,16.715565
-14.298534,16.935582
-14.502899,17.155167
-14.707600,17.374455
-14.912593,17.593588
-15.117828,17.812725
-15.323332,18.031778
-15.529246,18.250379
-15.735711,18.468201
-15.942813,18.685017
-16.150564,18.900768
-16.358863,19.115700
-16.567583,19.330119
-16.776633,19.544228
-16.985926,19.758222
-17.195376,19.972289
-17.404927,20.186537
-17.614585,20.400904
-17.824457,20.615070
-18.034639,20.828778
-18.245090,21.042134
-18.455740,21.255317
-18.666555,21.468404
-18.877484,21.681512
-19.088469,21.894769
-19.299471,22.108235
-19.510475,22.321916
-19.721535,22.535624
-19.932761,22.749036
-20.144160,22.962127
-20.355670,23.175076
-20.567258,23.387957
-20.778893,23.600842
-20.990513,23.813868
-21.202070,24.027122
-21.413571,24.240523
-21.625093,24.453756
-21.836694,24.666588
-22.048358,24.879135
-22.260040,25.091565
-22.471740,25.303961
-22.683448,25.516426
-22.895127,25.729078
-23.106752,25.941969
-23.318327,26.154988
-23.529891,26.367864
-23.741467,26.580480
-23.953014,26.792998
-24.164474,27.005578
-24.375798,27.218331
-24.586926,27.431425
-24.797784,27.645009
-25.008308,27.859157
-25.218438,28.073906
-25.428166,28.289299
-25.637506,28.505347
-25.846451,28.722025
-26.054999,28.939311
-26.263154,29.157184
-26.470913,29.375608
-26.678267,29.594545
-26.885209,29.813966
-27.091735,30.033839
-27.297842,30.254125
-27.503532,30.474797
-27.708815,30.695826
-27.913708,30.917187
-28.118233,31.138856
-28.322420,31.360808
-28.526301,31.583002
-28.729903,31.805389
-28.933281,32.027964
-29.136478,32.250709
-29.339517,32.473562
-29.542464,32.696476
-29.745404,32.919408
-29.948397,33.142290
-30.151507,33.365039
-30.354809,33.587594
-30.558345,33.809940
-30.762150,34.032058
-30.966274,34.253892
-31.170778,34.475376
-31.375747,34.696420
-31.581337,34.916835
-31.787742,35.136363
-31.995144,35.354751
-32.203721,35.571753
-32.413673,35.787104
-32.625183,36.000571
-32.838332,36.212049
-33.053119,36.421541
-33.269543,36.629089
-33.487601,36.834779
-33.707245,37.038695
-33.928418,37.240904
-34.151068,37.441477
-34.375138,37.640479
-34.600562,37.837973
-34.827271,38.033996
-35.055226,38.228570
-35.284428,38.421711
-35.514874,38.613396
-35.746563,38.803576
-35.979521,38.992223
-36.213782,39.179338
-36.449349,39.364980
-36.686204,39.549259
-36.924315,39.732278
-37.163654,39.914123
-37.404200,40.094862
-37.645938,40.274540
-37.888829,40.453153
-38.132826,40.630680
-38.377894,40.807100
-38.623973,40.982389
-38.870989,41.156520
-39.118876,41.329468
-39.367564,41.501198
-39.616977,41.671662
-39.867042,41.840812
-40.117741,42.008651
-40.369067,42.175187
-40.621011,42.340389
-40.873590,42.504240
-41.126838,42.666739
-41.380770,42.827864
-41.635356,42.987575
-41.890660,43.145911
-42.146770,43.302948
-42.403676,43.458719
-42.661364,43.613281
-42.919835,43.766762
-43.179048,43.919316
-43.438941,44.071074
-43.699456,44.222163
-43.960529,44.372716
-44.222080,44.522860
-44.484031,44.672711
-44.746312,44.822380
-45.008845,44.971974
-45.271552,45.121564
-45.534386,45.271133
-45.797345,45.420623
-46.060482,45.570003
-46.323665,45.719328
-46.586425,45.868891
-46.848236,46.019155
-47.108674,46.170651
-47.367489,46.323867
-47.624811,46.479043
-47.880917,46.636246
-48.135970,46.795502
-48.390066,46.956729
-48.643418,47.119868
-48.896205,47.284901
-49.148432,47.451746
-49.400084,47.620300
-49.651181,47.790507
-49.901700,47.962307
-50.151612,48.135607
-50.400912,48.310328
