x,y
0.000000,0.000000
-0.098937,0.240462
-0.215666,0.471683
-0.349801,0.714490
-0.480008,0.934128
-0.628017,1.172743
-0.770107,1.395721
-0.922939,1.630778
-1.061897,1.841156
-1.207980,2.059109
-1.361129,2.284150
-1.521336,2.515905
-1.688666,2.754107
-1.863244,2.998619
-2.014379,3.207154
-2.170773,3.420010
-2.332573,3.637165
-2.499952,3.858575
-2.673099,4.084127
-2.852067,4.313495
-3.036425,4.545995
-3.225402,4.780795
-3.418319,5.017172
-3.614599,5.254491
-3.813662,5.492161
-4.015028,5.729692
-4.218328,5.966690
-4.382153,6.155683
-4.546902,6.343996
-4.712483,6.531523
-4.878816,6.718168
-5.087640,6.950213
-5.297198,7.181077
-5.507185,7.411077
-5.717382,7.640432
-5.927616,7.869328
-6.137739,8.097942
-6.347654,8.326382
-6.557294,8.554703
-6.766609,8.782946
-6.975559,9.011128
-7.184130,9.239246
-7.392320,9.467292
-7.600150,9.695264
-7.807680,9.923181
-8.014968,10.151051
-8.222049,10.378865
-8.428983,10.606643
-8.635784,10.834368
-8.842414,11.061978
-9.048835,11.289432
-9.254967,11.516651
-9.460725,11.743553
-9.666103,11.970144
-9.871107,12.196421
-10.075692,12.422305
-10.279859,12.647776
-10.483657,12.872872
-10.687133,13.097622
-10.890329,13.322046
-11.093298,13.546196
-11.296094,13.770124
-11.498755,13.993875
-11.701303,14.217480
-11.903765,14.440986
-12.106161,14.664420
-12.308522,14.887769
-12.510891,15.110979
-12.713362,15.334002
-12.916061,15.556774
-13.119129,15.779200
-13.322679,16.001165
-13.526806,16.222555
-13.731625,16.443317
-13.937223,16.663428
-14.143642,16.882845
-14.350918,17.101528
-14.559087,17.319457
-14.768216,17.536576
-14.978443,17.752546
-15.189938,17.966882
-15.402830,18.179253
-15.617161,18.389476
-15.832852,18.597633
-16.049754,18.804025
-16.267758,19.008951
-16.486764,19.212656
-16.706629,19.415362
-16.927248,19.617276
-17.148587,19.818586
-17.370558,20.019432
-17.593026,20.219970
-17.815924,20.420451
-18.039222,20.621131
-18.262893,20.822157
-18.486935,21.023325
-18.711353,21.224229
-18.936141,21.424555
-19.161333,21.624167
-19.386917,21.823209
-19.612792,22.021988
-19.838834,22.220741
-20.064925,22.419641
-20.290945,22.618850
-20.516808,22.818394
-20.742526,23.018000
-20.968152,23.217429
-21.193657,23.416795
-21.418990,23.616251
-21.644117,23.815840
-21.868984,24.015642
-22.093542,24.215791
-22.317746,24.416348
-22.541571,24.617349
-22.765034,24.818705
-22.988201,25.020085
-23.211139,25.221298
-23.433855,25.422511
-23.656323,25.623892
-23.878548,25.825534
-24.100516,26.027569
-24.322205,26.230133
-24.543594,26.433300
-24.764658,26.637112
-24.985369,26.841475
-25.205739,27.046084
-25.425773,27.250773
-25.645432,27.455710
-25.864661,27.661073
-26.083415,27.866953
-26.301636,28.073491
-26.519249,28.280826
-26.736200,28.489037
-26.952481,28.698199
-27.168079,28.908360
-27.382975,29.119511
-27.597188,29.331638
-27.810769,29.544735
-28.023754,29.758750
-28.236189,29.973626
-28.448139,30.189318
-28.659672,30.405769
-28.870844,30.622921
-29.081708,30.840739
-29.292306,31.059187
-29.502665,31.278231
-29.712793,31.497858
-29.922680,31.718059
-30.132303,31.938806
-30.341629,32.160061
-30.550625,32.381789
-30.759273,32.603954
-30.967572,32.826515
-31.175534,33.049432
-31.383188,33.272659
-31.590575,33.496145
-31.797748,33.719836
-32.004762,33.943675
-32.211677,34.167608
-32.418561,34.391597
-32.625477,34.615610
-32.832491,34.839622
-33.039695,35.063582
-33.247259,35.287342
-33.455415,35.510672
-33.664399,35.733303
-33.874451,35.954953
-34.085795,36.175353
-34.298630,36.394270
-34.513124,36.611518
-34.729396,36.827006
-34.947530,37.040699
-35.167587,37.252545
-35.389603,37.462494
-35.613579,37.670552
-35.839500,37.876737
-36.067353,38.081038
-36.297105,38.283458
-36.528710,38.484023
-36.762111,38.682753
-36.997250,38.879668
-37.234057,39.074800
-37.472456,39.268195
-37.712364,39.459897
-37.953674,39.649947
-38.196302,39.838403
-38.440181,40.025333
-38.685216,40.210797
-38.931305,40.394853
-39.178367,40.577559
-39.426323,40.758943
-39.675101,40.939020
-39.924685,41.117823
-40.175072,41.295359
-40.426256,41.471613
-40.678247,41.646569
-40.931063,41.820211
-41.184710,41.992513
-41.439189,42.163452
-41.694490,42.333015
-41.950589,42.501205
-42.207450,42.668038
-42.465029,42.833550
-42.723277,42.997784
-42.982141,43.160794
-43.241579,43.322634
-43.501559,43.483367
-43.762052,43.643048
-44.023028,43.801733
-44.284458,43.959479
-44.546307,44.116347
-44.808544,44.272391
-45.071137,44.427666
-45.334053,44.582222
-45.597243,44.736115
-45.860684,44.889406
-46.124344,45.042154
-46.387906,45.194548
-46.650799,45.346990
-46.912825,45.499838
-47.174235,45.653256
-47.435192,45.807367
-47.695719,45.962298
-47.955669,46.118176
-48.214598,46.275214
-48.472074,46.433638
-48.727856,46.593584
-48.981941,46.755051
-49.234652,46.917904
-49.486385,47.081975
-49.737407,47.247111
-49.987663,47.413268
-50.236711,47.580571
-50.484117,47.749159
-50.729635,47.919105
-50.973305,48.090376
-51.215537,48.262782
-51.456796,48.436104
-51.697443,48.610161
-51.937838,48.784770
-52.178291,48.959804
-52.419001,49.135196
-52.660083,49.310906
-52.901462,49.486999
-53.142626,49.663790
-53.382915,49.841689
-53.621837,50.021049
-53.858913,50.202226
-54.093559,50.385636
-54.325279,50.571656
-54.553697,50.760559
-54.778483,50.952547
-54.999394,51.147762
-55.216308,51.346265
-55.429154,51.548066
-55.637897,51.753147
-55.842556,51.961456
-56.043191,52.172905
-56.239902,52.387375
-56.432828,52.604715
-56.622135,52.824755
-56.808013,53.047312
-56.990680,53.272177
-57.170375,53.499128
-57.347322,53.727959
-57.521767,53.958478
-57.694167,54.190497
-57.865108,54.423768
-58.035110,54.658103
-58.204600,54.893478
-58.373866,55.129825
-58.543091,55.367028
-58.712414,55.604994
-58.881932,55.843616
-59.051705,56.082715
-59.221782,56.322100
-59.392223,56.561617
-59.563120,56.801099
-59.734623,57.040345
-59.906899,57.279178
-60.080067,57.517493
-60.254219,57.755215
-60.429421,57.992291
-60.605719,58.228690
-60.783155,58.464400
-60.961777,58.699403
-61.141620,58.933692
-61.322692,59.167245
-61.505013,59.400049
-61.688647,59.632144
-61.873619,59.863519
-62.060007,60.093939
-62.247997,60.322966
-62.437745,60.550234
-62.629296,60.775578
-62.822578,60.999115
-63.017448,61.221135
-63.213764,61.441921
-63.411373,61.661728
-63.610094,61.880789
-63.809787,62.099336
-64.010337,62.317579
-64.211703,62.535539
-64.413946,62.752928
-64.617122,62.969437
-64.821225,63.184928
-65.026204,63.399385
-65.231939,63.613058
-65.438224,63.826324
-65.644884,64.039419
-65.851826,64.252562
-66.058982,64.465985
-66.266300,64.679632
-66.473876,64.893163
-66.681853,65.106259
-66.890299,65.318727
-67.099193,65.530587
-67.308467,65.742085
-67.518048,65.953455
-67.727862,66.164872
-67.937820,66.376504
-68.147849,66.588424
-68.358017,66.800458
-68.568463,67.012230
-68.779270,67.223434
-68.990286,67.434080
-69.200862,67.644726
-69.410303,67.856015
-69.618285,68.068339
